City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Ballina,AU,-28.8667,153.5667,62.78,87,23,8.79,few clouds
148,Qaanaaq,GL,77.484,-69.3632,-21.59,58,1,7.11,clear sky
149,Tiksi,RU,71.6872,128.8694,-10.28,92,100,16.26,overcast clouds
150,Okmulgee,US,35.6234,-95.9605,61.52,26,0,4.61,clear sky
151,Koumac,NC,-20.5667,164.2833,79.56,88,100,21.81,overcast clouds
152,Dokka,NO,60.84,10.0618,19.99,94,5,4.63,clear sky
153,Vostok,RU,46.4856,135.8833,5.02,98,99,3.33,overcast clouds
154,Selma,US,36.5708,-119.6121,68.9,55,0,1.61,clear sky
155,Aden,YE,12.7794,45.0367,76.46,67,7,16.87,clear sky
156,Bud,US,39.447,-86.1758,41.76,76,88,13.78,overcast clouds
157,Meulaboh,ID,4.1363,96.1285,76.19,82,100,3.58,overcast clouds
158,Lompoc,US,34.6391,-120.4579,83.12,24,0,3.44,clear sky
159,Chokurdakh,RU,70.6333,147.9167,-28.64,96,49,8.84,scattered clouds
160,Parkes,AU,-33.1333,148.1833,69.35,58,0,4.0,clear sky
161,Nouadhibou,MR,20.931,-17.0347,74.3,47,100,6.26,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,24.35,73,97,8.28,overcast clouds
163,Kaitangata,NZ,-46.2817,169.8464,57.56,93,78,3.67,broken clouds
164,Iqaluit,CA,63.7506,-68.5145,-2.51,98,100,6.67,light snow
165,Port Blair,IN,11.6667,92.75,78.96,75,4,8.3,clear sky
166,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,10.06,98,100,1.19,overcast clouds
167,Kedrovyy,RU,56.1667,91.8167,-23.13,98,29,1.9,scattered clouds
168,Pacific Grove,US,36.6177,-121.9166,76.44,38,0,0.0,clear sky
169,Gap,FR,44.6667,6.0,32.07,68,6,4.92,clear sky
170,Nome,US,64.5011,-165.4064,-18.33,69,0,0.0,clear sky
171,Port Alfred,ZA,-33.5906,26.891,71.01,80,77,7.2,broken clouds
172,Isabela,PH,6.7085,121.9711,78.21,88,100,4.74,overcast clouds
173,Conde,BR,-7.2597,-34.9075,83.66,55,28,11.34,scattered clouds
174,The Valley,AI,18.217,-63.0578,80.1,73,0,18.63,clear sky
175,Choma,ZM,-16.8065,26.9531,64.17,93,10,3.96,light rain
176,Stephenville,US,32.2207,-98.2023,70.14,23,0,4.61,clear sky
177,Amuntai,ID,-2.4177,115.2494,72.3,99,98,1.59,overcast clouds
178,Iisalmi,FI,63.5592,27.1907,30.22,90,100,9.84,overcast clouds
179,Port Macquarie,AU,-31.4333,152.9167,63.9,74,86,6.08,overcast clouds
180,Gouyave,GD,12.1646,-61.7296,78.19,66,1,19.82,clear sky
181,Yanam,IN,16.7333,82.2167,68.09,83,5,1.9,clear sky
182,Shingu,JP,33.7333,135.9833,43.92,85,4,7.14,clear sky
183,Olinda,BR,-8.0089,-34.8553,85.73,62,0,9.22,clear sky
184,Liwale,TZ,-9.7667,37.9333,69.26,91,100,2.62,overcast clouds
185,Kodiak,US,57.79,-152.4072,18.91,79,75,4.61,broken clouds
186,Hay River,CA,60.8156,-115.7999,-0.56,92,98,5.5,overcast clouds
187,Ahipara,NZ,-35.1667,173.1667,73.17,97,100,9.33,overcast clouds
188,Khani,GE,41.9563,42.9566,33.37,94,98,3.36,overcast clouds
189,Gimli,CA,50.6336,-96.9907,26.13,95,100,11.21,light snow
190,Lebu,CL,-37.6167,-73.65,61.21,61,100,25.95,overcast clouds
191,Lakeville,US,44.6497,-93.2427,24.06,78,0,9.22,clear sky
192,Ornskoldsvik,SE,63.2909,18.7153,31.15,86,11,20.71,few clouds
193,Pitimbu,BR,-7.4706,-34.8086,86.59,61,87,9.95,overcast clouds
194,Yilan,TW,24.757,121.753,67.05,99,100,3.89,overcast clouds
195,Lumbac,PH,7.7342,124.2528,69.06,94,100,2.86,overcast clouds
196,Avera,US,33.194,-82.5271,69.91,29,6,8.1,clear sky
197,Ponta Do Sol,PT,32.6667,-17.1,68.72,75,100,7.49,overcast clouds
198,Arsenyev,RU,44.1631,133.2733,9.77,98,94,2.1,snow
199,Manzanillo,CU,20.3433,-77.1167,87.06,48,13,10.18,few clouds
200,Nicoya,CR,10.1483,-85.452,90.95,32,6,8.86,clear sky
201,Nikolskoye,RU,59.7035,30.7861,36.88,93,100,10.42,overcast clouds
202,Walvis Bay,NA,-22.9575,14.5053,71.1,78,0,4.38,clear sky
203,Kontagora,NG,10.3999,5.4695,83.8,10,0,5.3,clear sky
204,Bam,IR,29.106,58.357,58.53,27,0,5.14,clear sky
205,Benjamin Aceval,PY,-24.9667,-57.5667,96.94,19,0,4.21,clear sky
206,Sampit,ID,-2.5333,112.95,73.33,96,100,1.68,overcast clouds
207,Mar Del Plata,AR,-38.0023,-57.5575,82.42,87,0,25.99,clear sky
208,Carutapera,BR,-1.195,-46.02,79.9,86,100,5.97,overcast clouds
209,Puerto Carreno,CO,6.189,-67.4859,96.87,28,88,8.52,overcast clouds
210,Juneau,US,58.3019,-134.4197,36.99,80,75,11.5,broken clouds
211,Xining,CN,36.6167,101.7667,17.22,95,100,0.49,overcast clouds
212,College Place,US,46.0493,-118.3883,67.39,52,0,14.97,clear sky
213,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,89.6,54,95,3.0,overcast clouds
214,Ascension,US,30.2169,-90.9001,71.02,33,0,5.75,clear sky
215,Bundaberg,AU,-24.85,152.35,66.49,89,0,5.75,clear sky
216,Merauke,ID,-8.4667,140.3333,76.62,88,100,1.19,light rain
217,Antsohihy,MG,-14.8796,47.9875,73.51,98,100,4.05,moderate rain
218,Pajapan,MX,18.25,-94.7,69.96,70,74,7.11,broken clouds
219,Plouzane,FR,48.3833,-4.6167,46.08,84,0,8.05,clear sky
220,Lagoa,PT,39.05,-27.9833,58.51,72,100,4.56,overcast clouds
221,Alberdi,AR,-32.8899,-60.6906,93.22,30,0,12.66,clear sky
222,Hami,CN,42.8,93.45,26.04,63,74,5.1,broken clouds
223,Teguldet,RU,57.3064,88.1667,-17.39,100,47,2.48,scattered clouds
224,Aginskoye,RU,51.1,114.53,-8.5,97,89,5.39,overcast clouds
225,Chernyshevskiy,RU,63.0128,112.4714,-29.09,100,78,1.57,broken clouds
226,Pisco,PE,-13.7,-76.2167,80.02,69,0,9.22,clear sky
227,Rohnert Park,US,38.3396,-122.7011,76.32,50,0,1.99,clear sky
228,Coihaique,CL,-45.5752,-72.0662,61.41,38,20,14.97,few clouds
229,Tandlianwala,PK,31.0333,73.1333,51.8,43,0,6.08,clear sky
230,Windhoek,NA,-22.5594,17.0832,69.12,75,100,4.34,overcast clouds
231,Provideniya,RU,64.3833,-173.3,-19.73,92,46,3.29,scattered clouds
232,Cam Ranh,VN,11.9214,109.1591,76.96,78,40,9.22,scattered clouds
233,Visnes,NO,59.3556,5.2242,37.81,93,40,14.97,scattered clouds
234,Maraba,BR,-5.3686,-49.1178,81.88,87,98,1.79,light rain
235,Tela,HN,15.7833,-87.45,77.22,100,100,6.91,drizzle
236,Emba,KZ,48.8264,58.1442,21.4,91,100,15.3,overcast clouds
237,Seymchan,RU,62.8833,152.4333,-41.67,100,88,0.85,overcast clouds
238,Pilar,BR,-9.5972,-35.9567,85.93,51,14,15.95,few clouds
239,Mookane,BW,-23.688,26.6595,72.63,63,63,12.03,broken clouds
240,Chapleau,CA,47.8405,-83.4034,14.65,84,100,5.21,overcast clouds
241,Lashio,MM,22.9333,97.75,48.6,67,0,1.59,clear sky
242,Inta,RU,66.0317,60.1659,16.09,78,100,11.34,overcast clouds
243,Westport,US,41.1415,-73.3579,54.18,50,8,14.0,clear sky
244,Moree,AU,-29.4667,149.85,70.81,43,9,7.58,clear sky
245,Kondopoga,RU,62.2057,34.2614,29.14,91,100,8.9,overcast clouds
246,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,72,99,9.13,overcast clouds
247,Halifax,CA,44.6453,-63.5724,41.09,77,12,11.99,few clouds
248,Henties Bay,NA,-22.116,14.2845,71.85,81,63,5.82,broken clouds
249,Touros,BR,-5.1989,-35.4608,88.7,60,64,13.29,broken clouds
250,Yeniseysk,RU,58.4497,92.1703,-18.38,100,83,0.76,broken clouds
251,Severo-Yeniseyskiy,RU,60.3725,93.0408,-17.84,100,84,1.97,broken clouds
252,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,79,0,8.95,clear sky
253,Geraldton,AU,-28.7667,114.6,68.41,88,0,8.05,clear sky
254,Shakhovskaya,RU,56.0283,35.5097,28.65,93,100,10.63,overcast clouds
255,Nigran,ES,42.1415,-8.8066,57.04,80,20,3.44,few clouds
256,Ninh Binh,VN,20.2539,105.975,63.14,93,100,2.26,overcast clouds
257,Changli,CN,39.7042,119.1506,33.1,53,100,4.94,overcast clouds
258,Angol,CL,-37.8,-72.7167,75.72,17,100,9.35,overcast clouds
259,Oranjemund,NA,-28.55,16.4333,65.1,90,0,14.81,clear sky
260,Ponta Delgada,PT,37.7333,-25.6667,63.5,72,20,11.5,few clouds
261,Cap Malheureux,MU,-19.9842,57.6142,79.29,78,0,1.99,clear sky
262,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,10.36,broken clouds
263,Matagami,CA,49.7502,-77.6328,8.71,72,100,17.27,overcast clouds
264,Estancia,BR,-11.2683,-37.4383,87.28,56,94,9.53,overcast clouds
265,Kununurra,AU,-15.7667,128.7333,76.98,94,100,0.0,overcast clouds
266,Victoria,HK,22.2855,114.1577,63.95,89,100,7.0,overcast clouds
267,Soure,BR,-0.7167,-48.5233,81.59,77,91,9.08,light rain
268,Semporna,MY,4.4818,118.6112,77.65,88,100,6.02,overcast clouds
269,Tabou,CI,4.423,-7.3528,80.1,85,6,7.38,clear sky
270,Quelimane,MZ,-17.8786,36.8883,76.91,80,44,5.5,scattered clouds
271,Ketchikan,US,55.3422,-131.6461,39.67,70,100,4.61,overcast clouds
272,Troitskoye,RU,52.9821,84.6757,-13.23,99,12,3.91,few clouds
273,Taltal,CL,-25.4,-70.4833,68.32,72,27,5.1,scattered clouds
274,Shelbyville,US,35.4834,-86.4603,62.42,36,0,8.05,clear sky
275,Byron Bay,AU,-28.65,153.6167,69.87,86,17,10.36,few clouds
276,Panalingaan,PH,8.7842,117.4231,77.86,80,100,2.06,overcast clouds
277,Aracuai,BR,-16.8497,-42.0703,85.96,60,82,2.62,broken clouds
278,Lebanon,US,36.2081,-86.2911,60.85,34,0,11.5,clear sky
279,Ulaangom,MN,49.9811,92.0667,-25.28,89,74,3.83,broken clouds
280,Chizhou,CN,30.6578,117.4831,41.65,91,100,4.41,overcast clouds
281,Mponela,MW,-13.5319,33.7401,64.47,90,92,4.41,overcast clouds
282,Nanao,JP,37.05,136.9667,34.29,82,83,4.27,broken clouds
283,Aswan,EG,24.0934,32.907,55.45,32,0,11.54,clear sky
284,Middle Island,US,40.8843,-72.9373,55.45,54,40,14.97,scattered clouds
