City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Kudahuvadhoo,MV,81.48,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
312,Lubao,PH,79.14,scattered clouds,14.9167,120.55,Hacienda Gracia
313,Pedernales,DO,83.19,clear sky,18.0384,-71.744,Hotel Costa Marina
316,Sao Filipe,CV,78.82,overcast clouds,14.8961,-24.4956,Hotel Xaguate
318,Biak,ID,76.01,broken clouds,-0.9131,122.8766,Penginapan Kim
319,Am Timan,TD,82.08,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
323,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
327,Rantauprapat,ID,71.87,light rain,2.1,99.8333,Permata Land Hotel & Resort
332,Itarema,BR,84.7,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
334,Alofi,NU,81.46,few clouds,-19.0595,-169.9187,Taloa Heights
336,Guerrero Negro,MX,72.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
337,Noumea,NC,80.01,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
338,Ramona,US,81.91,clear sky,33.0417,-116.8681,Ramona Terrace Estates
339,Flinders,AU,70.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
340,Lufilufi,WS,78.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
346,Phangnga,TH,80.64,overcast clouds,8.4509,98.5298,Sunimit Mansion
347,Port Shepstone,ZA,76.89,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
356,Porto Novo,BJ,80.55,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
357,Pires Do Rio,BR,73.24,light rain,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
360,Camana,PE,74.57,overcast clouds,-16.6228,-72.7111,Hostal Morales
369,Acarau,BR,84.02,overcast clouds,-2.8856,-40.12,castelo pizzaria
370,Weatherford,US,69.46,overcast clouds,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
371,Guatire,VE,81.01,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
374,Morant Bay,JM,80.65,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
376,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
377,Port Maria,JM,81.01,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
381,Coquimbo,CL,69.53,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
383,Chake Chake,TZ,79.54,overcast clouds,-5.2459,39.7666,Hotel Archipelago
384,Port Moresby,PG,74.82,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
386,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
387,Biankouma,CI,79.66,broken clouds,7.7391,-7.6138,Hôtel Licolais
388,Japura,ID,71.89,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
389,Vung Tau,VN,78.6,overcast clouds,10.346,107.0843,Green hotel
398,Sulangan,PH,79.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
399,Buin,CL,80.06,overcast clouds,-33.7333,-70.75,Paihuen
400,Lobito,AO,77.31,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
402,Eirunepe,BR,86.5,light rain,-6.6603,-69.8736,Atrás de você
403,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
406,Arlit,NE,71.56,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
407,Cayenne,GF,79.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
410,San Policarpo,PH,78.78,light rain,12.1791,125.5072,Agapita M. Nicart
413,Ukiah,US,77.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
415,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
421,Charters Towers,AU,72.27,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
429,Iquique,CL,73.44,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
431,Labuhan,ID,75.88,overcast clouds,-6.8844,112.2051,DoubleFAG
437,Hambantota,LK,76.71,few clouds,6.1241,81.1185,Bungalow 63
438,Samarai,PG,81.55,broken clouds,-10.6167,150.6667,Nuli Sapi
439,Ransang,PH,78.01,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
443,Ferkessedougou,CI,85.82,clear sky,9.6,-5.2,Hotel Chateau
444,Fortuna,US,77.34,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
446,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
447,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
451,Ca Mau,VN,77.29,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
455,San Vicente,AR,85.26,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
457,Cuamba,MZ,70.97,light rain,-14.8031,36.5372,Hotel Vision
461,Port Antonio,JM,80.94,few clouds,18.18,-76.4612,The Trident Hotel
462,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
